,Species,Total,Positive,Percentage,MSW05_Genus,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Certainty,BodyMass-Value,BodyMass-SpecLevel
0,Anoura geoffroyi,101,4,0.0396039603960396,Anoura,-999.0,15.15,42.66,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,125.14,1.0,-999.0,-999.0,-999.0,0.99,1.0,120.0,4.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,62.5,8.24,-999.0,108;196;217;543;889;1297;1311;1325;1388;1658;2143;2151;2622;2655;2719;2763;3023;3037;3038,-999.0,-999.0,-999.0,-999.0,8631465.89,25.97,-25.46,0.25,-34.79,-108.83,-71.81,0.0,44.96,0.0,0.1,128.98,221.14,1191.28,1510.91,30.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,14.62,1.0
1,Artibeus fimbriatus,3,0,0.0,Artibeus,-999.0,63.89,-999.0,-999.0,-999.0,-999.0,77.95,63.9,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,706;889;2151;2655,-999.0,-999.0,-999.0,-999.0,1195211.14,-18.73,-28.22,-23.48,-41.76,-59.24,-50.5,0.0,75.59,1.0,0.07,125.63,208.92,1233.51,1315.75,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,63.9,1.0
2,Artibeus jamaicensis,462,8,0.017316017316017316,Artibeus,-999.0,43.63,60.34,78.3,0.0,-999.0,56.5,45.2,4.0,-999.0,138.7,1.0,-999.0,-999.0,-999.0,1.0,2.0,120.0,10.57,40.72,-999.0,1000.0,333.22,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,108;196;359;543;889;892;980;1297;1309;1325;1507;1508;1536;1658;1702;1705;1784;1822;1948;2143;2151;2295;2315;2622;2655;2719;2751;3023;3035;30373038;3041;3045,-999.0,-999.0,-999.0,-999.0,14327574.52,26.12,-25.53,0.29,-34.79,-108.79,-71.79,0.0,33.02,0.0,0.11,147.19,237.53,1278.5,1531.97,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,42.17,1.0
3,Artibeus lituratus,304,9,0.02960526315789473,Artibeus,1.0,59.3,70.33,95.35,0.0,-999.0,84.82,70.1,1.0,-999.0,106.45,1.0,-999.0,-999.0,220.0,1.0,2.0,-999.0,8.9,58.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,33.79,-999.0,108;196;889;1297;1325;1334;1658;1705;1784;1822;1948;2143;2151;2295;2383;2622;2655;2708;2719;2751;2794;2795;2797;3035;3037;3038,-999.0,-999.0,-999.0,-999.0,14275189.62,22.11,-29.57,-3.73,-34.79,-98.34,-66.56,0.0,27.78,0.0,0.11,148.64,235.91,1281.41,1521.14,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,60.54,1.0
4,Artibeus obscurus,3,0,0.0,Artibeus,-999.0,35.91,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,889;1297;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,11220757.02,8.79,-26.5,-8.85,-34.79,-78.17,-56.48,0.0,19.72,0.0,0.11,154.26,240.14,1302.96,1531.52,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,35.2,1.0
5,Artibeus phaeotis,43,3,0.06976744186046513,Artibeus,-999.0,11.69,38.55,55.5,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,2.52,37.54,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,7.59,-999.0,108;196;748;889;1297;1325;1658;2143;2151;2622;2655;2751;2851;3023,-999.0,-999.0,-999.0,-999.0,1156701.32,24.53,-2.73,10.89,-75.6,-107.37,-91.49,1.0,51.66,3.0,0.13,162.28,228.79,1246.06,1593.77,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,11.59,1.0
6,Artibeus watsoni,21,0,0.0,Artibeus,-999.0,11.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,748,-999.0,-999.0,-999.0,-999.0,415964.09,19.12,7.2,13.16,-77.19,-95.55,-86.37,2.0,36.81,3.0,0.15,185.4,242.27,1374.71,1643.46,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,D1,Ar,A,1.0,0.0,0.0,ABC,11.2,1.0
7,Aselliscus stoliczkanus,73,0,0.0,Aselliscus,-999.0,6.09,41.49,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;679;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,1399537.9,28.75,2.08,15.42,114.6,96.12,105.36,5.0,167.6,12.0,0.08,139.23,195.97,1102.58,1327.28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,4.9,1.0
8,Balantiopteryx plicata,8,0,0.0,Balantiopteryx,1.0,6.57,42.23,-999.0,-999.0,365.0,-999.0,-999.0,1.0,-999.0,138.81,1.0,-999.0,-999.0,-999.0,0.99,1.0,-999.0,2.0,-999.0,-999.0,112.5,-999.0,-999.0,-999.0,2.0,3.0,58.59,-999.0,-999.0,126;426;429;889;1297;1658;1705;1814;2143;2151;2537;2655,-999.0,-999.0,-999.0,-999.0,841946.43,27.13,9.36,18.24,-71.82,-110.03,-90.93,3.0,88.19,8.0,0.09,106.96,216.78,1061.85,1571.82,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,6.39,1.0
9,Barbastella barbastellus,65,0,0.0,Barbastella,-999.0,8.31,38.49,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.73,1.0,252.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;543;1297;1658;2143;2151;2622;2655;2719;2884,-999.0,-999.0,-999.0,-999.0,3884782.92,60.57,27.99,44.28,49.43,-17.33,16.05,3.0,129.06,16.0,0.00949,57.71,84.24,498.71,630.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,8.03,1.0
10,Barbastella leucomelas,103,0,0.0,Barbastella,-999.0,15.05,41.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,3609915.54,45.52,15.46,30.49,145.82,33.91,89.86,0.0,143.24,1.0,0.08,84.55,82.03,630.25,997.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,15.05,1.0
11,Bauerus dubiaquercus,18,0,0.0,Bauerus,-999.0,22.22,53.29,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.71,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,804;907;1297;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,295020.71,21.5,11.17,16.34,-83.15,-106.52,-94.83,2.0,31.58,3.0,0.18,171.52,241.32,1396.07,1619.64,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,22.22,1.0
12,Cardioderma cor,13,1,0.07692307692307693,Cardioderma,-999.0,26.45,54.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,92.54,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,55.8,-999.0,-999.0,196;707;1297;1388;1658;1957;2144;2151;2655;2719;3023,-999.0,-999.0,-999.0,-999.0,2892359.62,18.0,-10.53,3.73,51.41,31.39,41.4,0.0,39.85,2.0,0.11,55.07,232.39,704.56,1613.35,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,G,A,1.0,0.0,0.0,ABC,27.84,1.0
13,Carollia brevicauda,107,6,0.05607476635514018,Carollia,-999.0,14.85,40.26,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,1000.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,889;985;1297;1309;1658;2143;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,11615943.22,23.25,-23.05,0.09,-34.79,-100.12,-67.45,0.0,25.68,0.0,0.12,155.22,240.49,1310.39,1560.88,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,14.4,1.0
14,Carollia castanea,45,0,0.0,Carollia,-999.0,13.1,36.2,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,196;889;985;1297;1658;2151;2655;2719,-999.0,-999.0,-999.0,-999.0,4881458.89,16.02,-18.71,-1.34,-51.64,-88.14,-69.89,0.0,24.23,0.0,0.12,171.15,236.15,1395.44,1587.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,13.27,1.0
15,Carollia perspicillata,546,27,0.04945054945054945,Carollia,1.0,19.23,42.45,59.99,0.0,410.62,31.43,14.9,3.0,-999.0,114.6,1.0,-999.0,-999.0,159.0,1.0,2.0,148.8,4.89,17.39,-999.0,55.0,298.14,-999.0,-999.0,2.0,2.0,35.63,12.24,-999.0,108;137;185;196;536;543;651;690;889;892;984;985;1297;1309;1388;1658;1705;1741;1822;1948;2143;2151;2295;2315;2316;2383;2655;2708;2719;27513023;3035;3037;3038,-999.0,-999.0,-999.0,-999.0,14098730.57,21.62,-29.91,-4.14,-34.79,-98.21,-66.5,0.0,26.25,0.0,0.11,149.5,236.85,1288.14,1519.79,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,18.0,1.0
16,Carollia sowelli,72,7,0.09722222222222222,Carollia,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,D1,Ar,A,1.0,0.0,0.0,ABC,16.5,1.0
17,Centurio senex,4,0,0.0,Centurio,-999.0,23.09,44.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,889;1297;1658;2143;2151;2622;2655;3023,-999.0,-999.0,-999.0,-999.0,2107462.67,26.26,5.05,15.65,-60.78,-108.71,-84.74,0.0,58.61,3.0,0.12,126.65,232.97,1224.39,1627.36,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,21.22,1.0
18,Chaerephon plicatus,32,4,0.125,Chaerephon,-999.0,21.83,46.39,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,88.64,1.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,4.5,-999.0,-999.0,1000.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;679;1297;1528;1621;1658;2143;2151;2655;2719,-999.0,-999.0,-999.0,-999.0,4893584.82,31.02,-8.96,11.03,126.6,71.16,98.88,1.0,244.83,9.0,0.1,155.19,250.06,1101.45,1563.04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,21.83,1.0
19,Chaerephon pumilus,15,2,0.13333333333333333,Chaerephon,-999.0,10.98,38.99,-999.0,0.0,152.08,-999.0,-999.0,1.0,-999.0,62.57,1.0,-999.0,-999.0,-999.0,1.0,3.0,60.0,3.63,36.29,-999.0,56.0,140.97,-999.0,-999.0,2.0,3.0,24.5,-999.0,-999.0,44;196;1257;1258;1297;1384;1658;1685;1784;1885;1938;1956;2094;2143;2151;2295;2636;2655;2688;2719;2895;2896;2897;2900;3014;3023,-999.0,-999.0,-999.0,-999.0,14309050.1,17.23,-34.83,-8.8,50.26,-17.53,16.36,0.0,36.24,1.0,0.14,96.01,238.79,958.76,1545.68,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,10.98,1.0
20,Chalinolobus gouldii,66,2,0.030303030303030307,Chalinolobus,-999.0,14.24,43.87,-999.0,-999.0,-999.0,25.2,17.5,1.0,-999.0,92.54,1.0,-999.0,-999.0,-999.0,1.41,1.0,-999.0,-999.0,-999.0,-999.0,20.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;1297;1384;1385;1388;1617;1658;1835;2143;2151;2186;2655;2719;3023,-999.0,-999.0,-999.0,-999.0,7346335.67,-11.11,-43.64,-27.37,168.09,113.14,140.61,0.0,3.44,0.0,0.03,36.09,208.38,434.79,1334.78,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,14.47,1.0
